Timestamp,Asset_ID,Asset_Name,Steam_Pressure_kg_cm2,Steam_Temp_C,Feed_Water_Temp_C,Bed_Temp_C,Stack_Temp_C,O2_Percent,Efficiency_Pct,FD_Fan_Bearing_C,Fuel_Feed_TPH,Load_Pct
2026-04-25 06:00,AST-001,45 TPH AFBC Boiler,44.2,485,152,870,168,4.8,82.3,,3.8,88
2026-04-25 06:00,AST-002,20 TPH FBC Boiler,18.5,355,108,940,192,5.2,74.1,78,2.1,92
2026-04-25 06:00,AST-005,30 TPH Biomass Boiler,32.8,420,138,855,175,4.5,79.5,,4.2,85
2026-04-25 06:00,AST-008,60 TPH CFBC Boiler,66,540,162,910,195,3.9,71.2,,6.8,95
2026-04-25 06:00,AST-011,15 TPH Oil/Gas Boiler,10.5,185,98,,178,3.2,90.8,,620 kg/hr,78
2026-04-25 05:00,AST-001,45 TPH AFBC Boiler,44.5,487,153,868,165,4.6,82.8,,3.7,87
2026-04-25 05:00,AST-002,20 TPH FBC Boiler,18.2,352,106,935,190,5.4,74.8,76,2.0,90
2026-04-25 05:00,AST-005,30 TPH Biomass Boiler,33.0,422,139,852,173,4.4,80.1,,4.1,84
2026-04-25 05:00,AST-008,60 TPH CFBC Boiler,65.5,538,161,905,193,4.0,72.0,,6.7,94
2026-04-25 05:00,AST-011,15 TPH Oil/Gas Boiler,10.4,184,97,,176,3.3,91.0,,615 kg/hr,77
2026-04-25 04:00,AST-001,45 TPH AFBC Boiler,44.8,488,154,865,163,4.5,83.1,,3.6,85
2026-04-25 04:00,AST-002,20 TPH FBC Boiler,18.0,350,105,928,188,5.6,75.2,74,1.9,88
2026-04-25 04:00,AST-005,30 TPH Biomass Boiler,33.2,424,140,848,170,4.3,80.5,,4.0,83
2026-04-25 04:00,AST-008,60 TPH CFBC Boiler,65.0,536,160,900,191,4.1,72.5,,6.6,93
2026-04-25 04:00,AST-011,15 TPH Oil/Gas Boiler,10.6,186,99,,174,3.1,91.2,,610 kg/hr,76
2026-04-25 03:00,AST-001,45 TPH AFBC Boiler,44.6,486,152,862,161,4.7,83.4,,3.5,84
2026-04-25 03:00,AST-002,20 TPH FBC Boiler,17.8,348,104,922,185,5.8,75.8,72,1.8,86
2026-04-25 03:00,AST-005,30 TPH Biomass Boiler,33.5,425,141,845,168,4.2,81.0,,3.9,82
2026-04-25 03:00,AST-008,60 TPH CFBC Boiler,64.8,535,159,895,189,4.2,73.0,,6.5,92
2026-04-25 03:00,AST-011,15 TPH Oil/Gas Boiler,10.5,185,98,,172,3.2,91.5,,608 kg/hr,75
2026-04-25 02:00,AST-001,45 TPH AFBC Boiler,44.4,484,151,860,160,4.8,83.6,,3.5,83
2026-04-25 02:00,AST-002,20 TPH FBC Boiler,17.5,346,103,918,183,6.0,76.2,70,1.7,84
2026-04-25 02:00,AST-005,30 TPH Biomass Boiler,33.6,426,142,842,166,4.1,81.3,,3.8,81
2026-04-25 02:00,AST-008,60 TPH CFBC Boiler,64.5,533,158,890,187,4.3,73.5,,6.4,91
2026-04-25 02:00,AST-011,15 TPH Oil/Gas Boiler,10.4,184,97,,170,3.3,91.8,,605 kg/hr,74
