Visit_ID,Customer,Location,Visit_Purpose,Engineer_Assigned,Visit_Date,Duration_Days,Equipment_Type,Priority,Pre_Visit_Checklist,Status,Follow_Up_Required
VS-2026-001,Tata Steel,Jamshedpur,PG Test Witnessing - 65 TPH AFBC,R. Sharma + S. Patil,2026-04-15,3,AFBC Boiler 65 TPH,High,Instruments calibrated; coal sample collected; water chemistry verified,Confirmed,Submit PG test report within 7 days
VS-2026-002,Hindalco,Renukoot,VAM 500 TR Performance Issue Investigation,P. Deshmukh + A. Kulkarni,2026-04-18,2,VAM 500 TR Chiller,Critical,Solution samples; performance data from DCS; cooling water parameters,Confirmed,Root cause report to customer within 5 days
VS-2026-003,Reliance Industries,Jamnagar,WHRS 30 MW Pre-Commissioning Inspection,V. Rao + M. Joshi + Team (4),2026-04-22,7,Waste Heat Recovery System,High,Punch list from mechanical completion; safety induction; tools and PPE,Confirmed,Daily progress reports to PMO
VS-2026-004,Godrej Industries,Valia,DM Plant Performance Audit,D. Kulkarni,2026-04-25,1,DM Plant 50 M3/Hr,Medium,Water analysis reports (6 months); membrane performance data,Scheduled,Audit report with recommendations
VS-2026-005,UltraTech Cement,Aditya Birla,ESP Annual Maintenance Visit,V. Rao,2026-04-28,2,ESP 4-Field,Normal,Opacity monitoring data; rapping system log; spare parts inventory,Scheduled,AMC compliance report
VS-2026-006,NTPC,Sipat,FGD System Technical Meeting + Site Survey,Dr. R. Venkatesh + S. Kumar,2026-05-02,2,FGD System (New Order),High,Tender documents; site layout; emission data,Scheduled,Site survey report for detailed engineering
VS-2026-007,Grasim Industries,Nagda,ZLD Plant Progress Review,A. Kulkarni + D. Kulkarni,2026-05-05,2,ZLD 200 KLD,Medium,Project schedule; construction progress photos; equipment delivery status,Scheduled,Monthly progress report
VS-2026-008,JSW Steel,Vijayanagar,Bag Filter DLP Inspection,V. Rao,2026-05-08,1,Bag Filter System,Normal,DLP checklist; emission monitoring data; bag condition assessment,Scheduled,DLP certificate if satisfactory
VS-2026-009,Sun Pharma,Halol,MEE Tube Leakage Follow-Up,M. Joshi,2026-05-10,1,MEE 6-Effect,High,Eddy current test results; tube plugging record; process parameters,Scheduled,MOC recommendation report
VS-2026-010,Dalmia Cement,Rajgangpur,WHRS Equipment Erection Supervision,R. Sharma + Team (3),2026-05-12,10,WHRS 8 MW,High,Erection drawings; quality plan; rigging plan; safety documents,Scheduled,Weekly erection progress reports
VS-2026-011,Indian Oil,Haldia,Process Heater Performance Test,S. Patil,2026-05-20,2,Process Heater 50 LK,Medium,Test instruments; fuel analysis; flue gas analyzer,Tentative,Performance test certificate
VS-2026-012,Vedanta,Jharsuguda,CPP O&M Quarterly Review,Plant Head O&M + S. Mane,2026-05-25,2,CPP 2x30 MW,Normal,Quarterly KPI report; maintenance log; spare consumption,Scheduled,QBR presentation to Vedanta management
